bookid,title,author,genres,rating,numofratings,bbescores,pages,price
1095,Stoner,John Williams,Fiction,4.29,102777,5452,278,13.0
1097,"Love, Rosie",Cecelia Ahern,Romance,3.94,104204,5414,512,3.0
1098,The Glass Bead Game,Hermann Hesse,Fiction,4.12,31704,5413,578,6.0
1099,"Night World, No. 2",LJ Smith,Young Adult,4.2,56917,5411,662,4.0
1101,Hawaii,James A,Historical Fiction,4.2,71574,5408,1136,3.0
1102,The Gormenghast Novels,Mervyn Peake,Fantasy,3.99,8356,5389,1173,7.0
1103,Inkdeath,Cornelia Funke,Fantasy,3.93,75108,5381,699,2.0
1104,The Pelican Brief,John Grisham,Fiction,4.01,373545,5379,400,14.0
1106,Bastard Out of Carolina,Dorothy Allison,Fiction,4.12,38866,5354,320,5.0
1107,The Alchemyst,Michael Scott,Fantasy,3.84,141256,5354,390,3.0
1108,Halo,Alexandra Adornetto,Young Adult,3.67,64431,5340,485,2.0
1109,The Silver Linings Playbook,Matthew Quick,Fiction,3.99,149596,5327,289,0.0
1110,Sweet Evil,Wendy Higgins,Young Adult,4.09,71729,5313,447,2.0
1112,The Spy Who Came In from the Cold,John le,Fiction,4.06,77293,5289,224,1.0
1113,Eclipse,Stephenie Meyer,Young Adult,3.7,1424531,5281,629,3.0
1114,Les Fleurs du Mal,Charles Baudelaire,Poetry,4.25,49287,5258,365,9.0
1115,Memoirs of Hadrian,Marguerite Yourcenar,Historical Fiction,4.25,18979,5249,347,7.0
1116,White Teeth,Zadie Smith,Fiction,3.77,124344,5243,448,2.0
1117,Breaking Dawn,Stephenie Meyer,Young Adult,3.7,1323975,5240,756,3.0
1119,The Angel's Game,Carlos Ruiz,Fiction,3.93,115611,5207,531,5.0
1120,Effortless,SC Stephens,Romance,4.36,113408,5199,487,7.0
1121,Garden Spells,Sarah Addison,Fiction,4.06,86660,5195,304,5.0
1122,The Immortal Rules,Julie Kagawa,Vampires,4.08,65414,5186,485,4.0
1125,Anne of the Island,LM Montgomery,Classics,4.23,134515,5163,243,3.0
1129,The Selfish Gene,Richard Dawkins,Science,4.14,140360,5150,360,1.0
1132,Rant,Chuck Palahniuk,Fiction,3.82,61508,5135,320,6.0
1133,The Princess Diaries,Meg Cabot,Young Adult,3.79,233422,5127,283,3.0
1136,The Blue Castle,LM Montgomery,Classics,4.26,29712,5064,218,10.0
1137,The French Lieutenant's Woman,John Fowles,Fiction,3.87,46639,5061,470,1.0
1141,Cross My Heart and Hope to Spy,Ally Carter,Young Adult,4.12,82021,5033,236,3.0
1142,The Tenant of Wildfell Hall,Anne Brontë,Classics,3.96,89567,4980,576,3.0
1144,Max,James Patterson,Young Adult,4.06,68433,4974,309,3.0
1145,Beautiful Darkness,Kami Garcia,Young Adult,3.83,124321,4959,503,3.0
1146,The Satanic Verses,Salman Rushdie,Fiction,3.71,55906,4941,561,3.0
1147,Metamorphoses,Ovid David,Classics,4.06,58144,4920,723,4.0
1148,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,Picture Books,4.23,171373,4918,32,7.0
1149,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,Nonfiction,4.08,157778,4911,316,5.0
1150,City of Thieves,David Benioff,Historical Fiction,4.28,116520,4910,258,5.0
1151,Stolen: A Letter to My Captor,Lucy Christopher,Young Adult,3.91,67437,4907,304,3.0
1152,Fall of Giants,Ken Follett,Historical Fiction,4.28,267909,4897,985,4.0
1153,Just So Stories,Rudyard Kipling,Classics,4.07,44858,4881,210,2.0
1154,Old Yeller,Fred Gipson,Classics,4.08,85936,4873,132,3.0
1155,Quo Vadis,Henryk Sienkiewicz,Classics,4.16,26430,4867,589,2.0
1157,Guards! Guards!,Terry Pratchett,Fantasy,4.31,165125,4846,376,4.0
1160,Something Borrowed,Emily Giffin,Chick Lit,3.85,507432,4836,322,3.0
1161,Born at Midnight,CC Hunter,Young Adult,4.12,81877,4830,398,2.0
1162,A Man Called Ove,Fredrik Backman,Fiction,4.36,568758,4824,337,6.0
1163,Elantris,Brandon Sanderson,Fantasy,4.18,176059,4822,638,9.0
1164,Gilead,Marilynne Robinson,Fiction,3.85,80189,4819,247,8.0
1165,Extras,Scott Westerfeld,Young Adult,3.59,103927,4817,417,3.0
1166,Ragtime,EL Doctorow,Fiction,3.88,37794,4803,320,5.0
1167,Perdido Street Station,China Miéville,Fantasy,3.96,60487,4795,623,10.0
1168,The Blue Sword,Robin McKinley,Fantasy,4.19,57623,4794,256,10.0
1169,The Sky Is Everywhere,Jandy Nelson,Young Adult,3.99,90847,4793,275,5.0
1170,"The Diamond Age: Or, A Young Lady's Illustrated Primer",Neal Stephenson,Science Fiction,4.17,83193,4792,499,1.0
1171,The Complete Fairy Tales,Hans Christian,Classics,4.28,116114,4791,803,3.0
1172,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,Classics,3.74,19119,4787,735,3.0
1174,What Is the What,Dave Eggers,Fiction,4.16,75239,4764,475,3.0
1175,Haunted,Chuck Palahniuk,Fiction,3.58,92676,4763,419,3.0
1176,Iron Kissed,Patricia Briggs,Urban Fantasy,4.36,107044,4761,287,2.0
1177,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Nonfiction,3.97,689776,4754,301,1.0
1178,Illuminae,Amie Kaufman,Science Fiction,4.28,113548,4743,608,5.0
1180,An Echo in the Bone,Diana Gabaldon,Historical Fiction,4.44,117360,4711,1149,2.0
1181,An American Tragedy,Theodore Dreiser,Classics,3.95,31877,4708,859,3.0
1184,Ink Exchange,Melissa Marr,Fantasy,3.68,57638,4705,325,4.0
1185,Fantastic Beasts and Where to Find Them,Newt Scamander,Fantasy,3.98,330094,4705,128,2.0
1186,The House of the Scorpion,Nancy Farmer,Young Adult,4.09,78599,4703,380,2.0
1187,The Waste Lands,Stephen King,Fantasy,4.23,186127,4699,422,80.0
1188,The Pandarus File,Kyle Keyes,Fiction,4.43,2907,4699,348,15.0
1189,Darkness at Noon,Arthur Koestler,Fiction,4.04,26243,4670,216,4.0
1190,Black Like Me,John Howard,Nonfiction,4.12,60824,4669,208,11.0
1192,The End of the Affair,Graham Greene,Fiction,3.92,52026,4649,160,3.0
1194,The Thief Lord,Cornelia Funke,Fantasy,3.97,87079,4620,350,1.0
1195,The Serpent's Shadow,Rick Riordan,Fantasy,4.28,122900,4603,406,1.0
1196,If You Give a Mouse a Cookie,Laura Joffe,Picture Books,4.26,250916,4584,40,4.0
1197,Diary of a Wimpy Kid,Jeff Kinney,Fiction,3.99,446056,4574,224,4.0
1198,The White Tiger,Aravind Adiga,Fiction,3.74,156970,4567,276,7.0
1199,The Fury / Dark Reunion,LJ Smith,Young Adult,3.74,56884,4566,520,3.0
1200,Out of My Mind,Sharon M,Realistic Fiction,4.37,110899,4566,295,5.0
1201,Hiroshima,John Hersey,History,3.98,60571,4555,152,6.0
1204,The Winter of Our Discontent,John Steinbeck,Classics,4.0,38178,4547,336,13.0
1205,Among the Hidden,Margaret Peterson,Young Adult,3.98,111903,4539,153,6.0
1206,The Dream Thieves,Maggie Stiefvater,Fantasy,4.23,148263,4531,439,12.0
1208,Wintergirls,Laurie Halse,Young Adult,3.97,107551,4520,278,2.0
1209,River God,Wilbur Smith,Historical Fiction,4.2,34111,4519,664,4.0
1210,Pawn of Prophecy,David Eddings,Fantasy,4.14,94771,4517,304,5.0
1211,Burned,Ellen Hopkins,Young Adult,4.25,57383,4492,431,5.0
1214,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,Nonfiction,4.16,163098,4475,229,4.0
1215,The Great Hunt,Robert Jordan,Fantasy,4.22,227837,4475,705,7.0
1216,Imajica,Clive Barker,Fantasy,4.17,20569,4475,823,18.0
1217,Pushing the Limits,Katie McGarry,Romance,4.06,114086,4467,392,5.0
1218,The Prime of Miss Jean Brodie,Muriel Spark,Fiction,3.74,42623,4463,150,7.0
1219,The Warded Man,Peter V,Fantasy,4.24,108782,4462,416,12.0
1221,Ham on Rye,Charles Bukowski,Fiction,4.14,83524,4456,288,8.0
1222,The Dead Girls' Dance,Rachel Caine,Vampires,4.05,54434,4447,248,2.0
1223,Days of Blood & Starlight,Laini Taylor,Fantasy,4.15,138802,4446,517,4.0
1224,Milk and Honey,Rupi Kaur,Poetry,4.07,345201,4439,204,11.0
1225,China Blues,Ki Longfellow,Historical Fiction,4.11,1355,4435,456,6.0
1227,Impulse,Ellen Hopkins,Young Adult,4.27,69645,4428,666,3.0
1230,Lullaby,Chuck Palahniuk,Fiction,3.73,91567,4406,260,2.0
1232,Need,Carrie Jones,Young Adult,3.72,60587,4392,306,4.0
1233,The Crystal Cave,Mary Stewart,Fantasy,4.13,41815,4391,494,8.0
1234,The Summer I Turned Pretty,Jenny Han,Young Adult,3.92,152028,4390,276,3.0
1235,The Scorpio Races,Maggie Stiefvater,Fantasy,4.07,97766,4389,409,3.0
1237,Who Moved My Cheese?,Spencer Johnson,Nonfiction,3.82,366815,4380,96,1.0
1238,The Forever War,Joe Haldeman,Science Fiction,4.14,139395,4380,278,4.0
1239,The Traitor's Emblem,Juan Gomez-Jurado,Historical Fiction,3.83,2506,4373,317,5.0
1240,The Painted Bird,Jerzy Kosiński,Fiction,3.92,21188,4366,234,13.0
1242,Don't Judge a Girl by Her Cover,Ally Carter,Young Adult,4.2,64707,4357,263,0.0
1243,Cat's Eye,Margaret Atwood,Fiction,3.92,59752,4355,462,7.0
1244,Aesop's Fables,Aesop Laura,Classics,4.05,114202,4355,306,7.0
1245,The Children of Húrin,JRR Tolkien,Fantasy,3.96,66683,4355,313,2.0
1246,Can You Keep a Secret?,Sophie Kinsella,Chick Lit,3.84,376756,4354,374,2.0
1247,A Good Man is Hard to Find and Other Stories,Flannery O'Connor,Short Stories,4.21,38789,4348,252,27.0
1248,If Tomorrow Comes,Sidney Sheldon,Fiction,4.04,61274,4333,501,3.0
1250,Hollow City,Ransom Riggs,Fantasy,4.05,198209,4330,428,2.0
1251,Kissed by an Angel/The Power of Love/Soulmates,Elizabeth Chandler,Young Adult,4.08,25334,4306,690,5.0
1252,All Things Bright and Beautiful,James Herriot,Nonfiction,4.31,66597,4299,378,6.0
1254,The Sword of Shannara,Terry Brooks,Fantasy,3.75,86347,4285,726,3.0
1255,The Mayor of Casterbridge,Thomas Hardy,Classics,3.83,54295,4284,445,3.0
1256,The Casual Vacancy,JK Rowling,Fiction,3.3,302889,4273,503,3.0
1257,Notes from Underground,Fyodor Dostoyevsky,Classics,4.15,83748,4264,136,11.0
1258,The Shadow Rising,Robert Jordan,Fantasy,4.23,172424,4258,1007,5.0
1259,The Manufactured Identity,Heath Sommer,Psychology,3.51,414,4256,305,5.0
1260,A Storm of Swords: Blood and Gold,George RR,Fantasy,4.52,81883,4255,639,1.0
1261,Killing Floor,Lee Child,Thriller,4.05,249409,4250,424,4.0
1262,Freedom,Jonathan Franzen,Fiction,3.76,150235,4245,562,3.0
1264,Less Than Zero,Bret Easton,Fiction,3.56,72604,4239,208,3.0
1266,The Iron Knight,Julie Kagawa,Fantasy,4.2,77738,4224,400,5.0
1267,Vampire Academy Collection,Richelle Mead,Vampires,4.61,33737,4217,1120,8.0
1268,Three Comrades,Erich Maria,Classics,4.49,24651,4217,496,4.0
1270,The Miraculous Journey of Edward Tulane,Kate DiCamillo,Fantasy,4.37,80802,4206,200,5.0
1271,Reaper Man,Terry Pratchett,Fantasy,4.27,83403,4202,352,8.0
1272,Hunger,Knut Hamsun,Fiction,4.05,42452,4193,134,8.0
1273,Narcissus and Goldmund,Hermann Hesse,Philosophy,4.21,45362,4191,320,5.0
1275,Entwined with You,Sylvia Day,Romance,4.19,179028,4182,356,1.0
1276,Even Cowgirls Get the Blues,Tom Robbins,Fiction,3.76,49482,4179,366,6.0
1277,The Illustrated Man,Ray Bradbury,Science Fiction,4.13,79357,4179,186,26.0
1278,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,Self Help,4.13,210620,4178,229,9.0
1281,The Third Policeman,Flann O'Brien,Fiction,4.0,16157,4150,200,4.0
1283,Fathers and Sons,Ivan Turgenev,Classics,3.96,69295,4148,244,3.0
1284,Skulduggery Pleasant,Derek Landy,Fantasy,4.13,55298,4147,392,4.0
1286,A Suitable Boy,Vikram Seth,Fiction,4.12,42140,4145,1474,15.0
1287,The Day of the Jackal,Frederick Forsyth,Fiction,4.26,117769,4145,358,4.0
1288,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Nonfiction,4.06,323829,4143,333,5.0
1290,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,Nonfiction,4.02,276970,4141,162,1.0
1292,"Eragon, Eldest & Brisingr",Christopher Paolini,Fantasy,4.23,32147,4121,1952,7.0
1293,Cloudy With a Chance of Meatballs,Judi Barrett,Picture Books,4.16,130431,4118,32,4.0
1294,"Girl, Interrupted",Susanna Kaysen,Nonfiction,3.9,180556,4116,169,4.0
1295,Crossed,Ally Condie,Young Adult,3.52,211066,4114,367,3.0
1296,The New York Trilogy,Paul Auster,Fiction,3.88,61768,4112,308,4.0
1297,Wolf Hall,Hilary Mantel,Historical Fiction,3.88,166123,4109,604,1.0
1298,Flipped,Wendelin Van,Young Adult,3.95,96940,4095,212,5.0
1299,Preludes & Nocturnes,Neil Gaiman,Graphic Novels,4.23,210364,4091,233,43.0
1300,After Dark,Haruki Murakami,Fiction,3.71,110117,4088,191,6.0
1301,The False Prince,Jennifer A,Fantasy,4.19,75559,4074,342,6.0
1302,Pope Joan,Donna Woolfolk,Historical Fiction,4.07,65298,4072,422,3.0
1303,"Ahab's Wife, or The Star-Gazer",Sena Jeter,Fiction,4.03,42797,4071,704,2.0
1306,The Invisible Man,HG Wells,Classics,3.64,145409,4065,192,5.0
1307,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,Nonfiction,4.39,84643,4061,282,2.0
1308,The Ask and the Answer,Patrick Ness,Young Adult,4.2,73293,4060,553,6.0
1309,Noughts & Crosses,Malorie Blackman,Young Adult,4.23,50575,4057,479,3.0
1310,Tell No One,Harlan Coben,Mystery,4.11,119524,4055,370,3.0
1311,The Art of Happiness,Dalai Lama,Nonfiction,4.16,93167,4039,336,4.0
1312,The Book of Lost Things,John Connolly,Fantasy,3.95,68507,4037,339,5.0
1313,Les Liaisons dangereuses,Pierre Choderlos,Classics,4.07,43427,4036,448,3.0
1314,The Storyteller,Jodi Picoult,Fiction,4.27,173085,4035,461,3.0
1315,Grendel,John Gardner,Fiction,3.69,32286,4020,174,3.0
1316,"Tomorrow, When the War Began",John Marsden,Young Adult,4.05,48293,4015,276,2.0
1317,The Brothers K,David James,Fiction,4.38,13923,4009,645,5.0
1318,Wallbanger,Alice Clayton,Romance,4.05,176419,4008,384,8.0
1320,The Book of Negroes,Lawrence Hill,Historical Fiction,4.46,73063,3995,512,6.0
1321,Dead Souls,Nikolai Gogol,Classics,3.97,65896,3990,464,5.0
1322,The Boy Who Sneaks in My Bedroom Window,Kirsty Moseley,Romance,3.91,64690,3989,242,5.0
1323,Shadow of Night,Deborah Harkness,Fantasy,4.05,181047,3973,584,4.0
1324,Quidditch Through the Ages,Kennilworthy Whisp,Fantasy,3.84,145677,3973,56,3.0
1325,Boy's Life,Robert R,Horror,4.36,26225,3969,580,5.0
1326,The Death of Ivan Ilych,Leo Tolstoy,Classics,4.08,93360,3969,86,10.0
1327,Turtles All the Way Down,John Green,Young Adult,3.95,314236,3962,286,2.0
1328,Blood Bound,Patricia Briggs,Urban Fantasy,4.31,111485,3954,292,4.0
1332,Magic Bleeds,Ilona Andrews,Urban Fantasy,4.45,70869,3945,349,4.0
1333,Harry Potter and the Cursed Child: Parts One and Two,John Tiffany,Fantasy,3.62,701541,3942,343,2.0
1335,The Cuckoo's Calling,Robert Galbraith,Mystery,3.86,481916,3934,456,5.0
1336,Monsters of Men,Patrick Ness,Young Adult,4.24,66501,3931,643,5.0
1338,Masquerade,Melissa de,Young Adult,3.91,86304,3916,307,3.0
1339,The High Lord,Trudi Canavan,Fantasy,4.12,51254,3906,644,2.0
1340,Die for Me,Amy Plum,Young Adult,3.98,53039,3899,341,3.0
1342,Women,Charles Bukowski,Fiction,3.85,63526,3897,291,4.0
1345,Bone Crossed,Patricia Briggs,Urban Fantasy,4.34,96168,3861,300,0.0
1348,Only the Good Spy Young,Ally Carter,Young Adult,4.29,60421,3845,265,2.0
1349,The Eyes of the Dragon,Stephen King,Fantasy,3.93,105124,3838,427,4.0
1350,"Tinker, Tailor, Soldier, Spy",John le,Fiction,4.04,73508,3828,381,5.0
1351,The Gathering Storm,Robert Jordan,Fantasy,4.36,127727,3827,783,5.0
1352,Educated,Tara Westover,Nonfiction,4.47,796019,3826,334,5.0
1353,Archibald Finch and the Lost Witches (Archibald Finch #1),Michel Guyon,Fantasy,4.25,261,3812,350,22.0
1354,The Final Warning,James Patterson,Young Adult,3.86,65464,3807,256,3.0
1356,Mrs. Frisby and the Rats of NIMH,Robert C,Fantasy,4.14,164309,3798,240,8.0
1358,Big Little Lies,Liane Moriarty,Fiction,4.27,747614,3797,460,3.0
1359,Kiss the Girls,James Patterson,Mystery,3.97,313347,3784,481,5.0
1360,The Great Book of Amber,Roger Zelazny,Fantasy,4.3,24111,3783,1258,18.0
1361,Fang,James Patterson,Young Adult,4.06,56310,3782,309,5.0
1362,Lover Unleashed,JR Ward,Paranormal,4.28,84506,3780,512,6.0
1363,Daughter of Fortune,Isabel Allende,Historical Fiction,3.9,115142,3779,432,6.0
1364,Keeper of the Lost Cities,Shannon Messenger,Fantasy,4.46,30080,3778,496,9.0
1365,About a Boy,Nick Hornby,Fiction,3.79,125733,3764,307,2.0
1367,Glass Sword,Victoria Aveyard,Fantasy,3.88,197335,3748,444,7.0
1368,American Pastoral,Philip Roth,Fiction,3.92,65019,3746,432,3.0
1369,Weaveworld,Clive Barker,Fantasy,4.13,28345,3743,721,9.0
1370,The Magicians' Guild,Trudi Canavan,Fantasy,3.94,72277,3740,467,2.0
1371,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta,Nonfiction,3.99,83462,3737,481,3.0
1372,The Light Between Oceans,ML Stedman,Fiction,4.03,397144,3735,362,4.0
1373,Angels' Blood,Nalini Singh,Paranormal,4.09,76205,3731,339,3.0
1374,The Beach,Alex Garland,Fiction,3.94,73994,3731,436,1.0
1375,The Sunne in Splendour,Sharon Kay,Historical Fiction,4.38,19736,3727,936,5.0
1376,The Rosie Project,Graeme Simsion,Fiction,4.02,447487,3724,295,6.0
1377,The Epic of Gilgamesh,Anonymous NK,Classics,3.7,80491,3720,120,2.0
1378,The Heart Is a Lonely Hunter,Carson McCullers,Fiction,3.98,92728,3718,359,3.0
1379,Warm Bodies,Isaac Marion,Romance,3.92,99171,3713,256,3.0
1380,Yertle the Turtle and Other Stories,Dr Seuss,Childrens,4.15,32947,3712,96,6.0
1381,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,Science,4.27,59021,3701,459,15.0
1382,The Alexandria Quartet,Lawrence Durrell,Fiction,4.17,11170,3700,884,22.0
1383,Master of the Game,Sidney Sheldon,Fiction,4.12,50762,3698,489,3.0
1384,The Wee Free Men,Terry Pratchett,Fantasy,4.26,94183,3694,375,9.0
1385,"My Story: ""A Child Called It"", ""The Lost Boy"", ""A Man Named Dave""",Dave Pelzer,Nonfiction,4.21,10705,3692,437,0.0
1386,Ana Rocha: Shadows of Justice,Ammar Habib,Thriller,4.23,4816,3687,218,15.0
1387,The Power and the Glory,Graham Greene,Fiction,3.97,33333,3686,222,4.0
1388,North and South,John Jakes,Historical Fiction,4.2,56771,3684,812,1.0
1389,On the Island,Tracey Garvis,Romance,4.12,75610,3678,368,3.0
1390,Franz Kafka's The Castle (Dramatization),David Fishelson,Fiction,4.08,27916,3675,59,6.0
1391,As You Like It,William Shakespeare,Classics,3.83,71237,3672,263,2.0
1392,The Fiery Heart,Richelle Mead,Young Adult,4.34,66720,3669,420,4.0
1394,The Moonstone,Wilkie Collins,Classics,3.9,79318,3663,528,3.0
1395,Sons and Lovers,DH Lawrence,Classics,3.63,47162,3659,654,1.0
1397,Succubus Blues,Richelle Mead,Urban Fantasy,3.94,52759,3653,343,4.0
1398,Pedro Páramo,Juan Rulfo,Fiction,4.06,42056,3645,128,9.0
1400,Doomsday Book,Connie Willis,Science Fiction,4.03,49116,3628,578,8.0
1401,The Last Temptation of Christ,Nikos Kazantzakis,Fiction,4.17,12131,3626,506,5.0
1402,The Kill Order,James Dashner,Young Adult,3.71,162915,3626,327,4.0
1404,War and Remembrance,Herman Wouk,Historical Fiction,4.41,32336,3600,1042,5.0
1405,Table 21,T Rafael,Fiction,3.65,407,3591,287,3.0
1407,Long Walk to Freedom,Nelson Mandela,Biography,4.33,67778,3581,656,3.0
1408,Down and Rising,Rohith S,Post Apocalyptic,4.85,124,3581,676,14.0
1409,Lord of Misrule,Rachel Caine,Vampires,4.16,44980,3577,246,2.0
1410,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,Nonfiction,4.01,615431,3576,315,4.0
1412,The Source,James A,Historical Fiction,4.29,39140,3575,1080,4.0
1413,The Language of Flowers,Vanessa Diffenbaugh,Fiction,4.08,195341,3571,323,2.0
1414,The Raven,Edgar Allan,Classics,4.29,101241,3571,64,10.0
1415,Midnight Alley,Rachel Caine,Vampires,4.1,57349,3565,245,1.0
1417,Torn,Amanda Hocking,Fantasy,4.04,64919,3558,324,3.0
1418,Kingdom of Ash,Sarah J,Fantasy,4.57,133816,3554,984,7.0
1419,The Wishing Spell,Chris Colfer,Fantasy,4.24,97430,3547,438,4.0
1420,Paranormalcy,Kiersten White,Young Adult,3.89,92477,3545,335,6.0
1421,"Night World, No. 3",LJ Smith,Young Adult,4.2,63603,3545,732,2.0
1423,The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,Christian,3.94,227881,3530,334,3.0
1424,Portnoy's Complaint,Philip Roth,Fiction,3.7,58684,3524,274,0.0
1425,The Demon King,Cinda Williams,Fantasy,4.14,67965,3518,506,5.0
1426,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,Nonfiction,4.12,418716,3517,327,3.0
1427,The Collected Poems of W.B. Yeats,WB Yeats,Poetry,4.24,35001,3514,544,4.0
1428,The Eight,Katherine Neville,Fiction,3.91,36081,3511,598,3.0
1430,The Diving Bell and the Butterfly,Jean-Dominique Bauby,Nonfiction,4.0,59577,3486,132,4.0
1432,Caraval,Stephanie Garber,Fantasy,3.95,146719,3480,432,11.0
1434,Firelight,Sophie Jordan,Fantasy,3.86,62092,3470,323,3.0
1435,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,Nonfiction,4.04,98861,3460,370,3.0
1436,Tigana,Guy Gavriel,Fantasy,4.07,43041,3459,676,6.0
1437,The Savage Detectives,Roberto Bolaño,Fiction,4.13,32632,3457,577,4.0
1439,Stargazer,Claudia Gray,Young Adult,3.8,55009,3444,329,2.0
1440,Where the Sidewalk Ends,Shel Silverstein,Poetry,4.3,1179086,3441,176,34.0
1442,The Bone Collector,Jeffery Deaver,Mystery,4.19,158217,3440,528,3.0
1443,The Illuminatus! Trilogy,Robert Shea,Fiction,4.01,14466,3434,805,6.0
1444,Firefly Lane,Kristin Hannah,Fiction,4.08,199333,3427,479,5.0
1445,Circe,Madeline Miller,Fantasy,4.26,343022,3421,393,9.0
1447,Magic Strikes,Ilona Andrews,Urban Fantasy,4.44,72309,3405,310,7.0
1448,Persepolis: The Story of a Childhood,Marjane Satrapi,Graphic Novels,4.25,158488,3399,153,4.0
1449,The Darkest Night,Gena Showalter,Paranormal,4.07,76694,3397,379,2.0
1451,A Distant Mirror: The Calamitous 14th Century,Barbara W,History,4.06,32806,3391,677,9.0
1452,Half of a Yellow Sun,Chimamanda Ngozi,Fiction,4.33,103433,3390,433,16.0
1453,The Threat Below,Jason Latshaw,Fiction,4.32,6550,3385,544,10.0
1454,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E,History,4.42,96959,3384,432,5.0
1455,Dragonflight,Anne McCaffrey,Fantasy,4.09,126096,3382,299,14.0
1456,Silent Spring,Rachel Carson,Nonfiction,3.98,35740,3376,378,7.0
1458,Nicholas Nickleby,Charles Dickens,Classics,3.92,40104,3372,817,3.0
1459,Feast of Fools,Rachel Caine,Vampires,4.16,50705,3361,242,2.0
1460,Demonglass,Rachel Hawkins,Young Adult,4.1,88110,3360,359,1.0
1461,"The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone",Sophocles Robert,Classics,3.98,57932,3360,259,2.0
1462,Katherine,Anya Seton,Historical Fiction,4.18,29501,3359,500,4.0
1463,The Power of Six,Pittacus Lore,Young Adult,4.16,122526,3351,406,3.0
1465,Animal Dreams,Barbara Kingsolver,Fiction,4.05,64141,3342,342,3.0
1467,Dead in the Family,Charlaine Harris,Fantasy,3.89,150263,3333,311,1.0
1468,Medea,Euripides Rex,Classics,3.88,54966,3330,59,4.0
1469,Steve Jobs,Walter Isaacson,Biography,4.14,956505,3330,627,2.0
1470,Soulless,Gail Carriger,Steampunk,3.89,98922,3318,357,3.0
1471,This Side of Paradise,F Scott,Classics,3.66,62099,3315,275,5.0
1472,The DUFF: Designated Ugly Fat Friend,Kody Keplinger,Young Adult,3.82,179270,3314,280,1.0
1473,Eleanor Oliphant Is Completely Fine,Gail Honeyman,Fiction,4.28,708400,3313,336,10.0
1474,The Demigod Files,Rick Riordan,Fantasy,4.05,78665,3307,151,1.0
1475,Before I Die,Jenny Downham,Young Adult,3.83,51372,3303,336,2.0
1476,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,Nonfiction,3.75,197560,3294,399,3.0
1478,Requiem,Lauren Oliver,Young Adult,3.74,128515,3290,391,5.0
1479,Lirael,Garth Nix,Fantasy,4.27,107249,3289,464,4.0
1480,Carpe Corpus,Rachel Caine,Vampires,4.2,47190,3288,241,2.0
1482,Gathering Blue,Lois Lowry,Young Adult,3.82,160630,3279,240,5.0
1486,Island,Aldous Huxley,Fiction,3.83,25256,3241,354,12.0
1487,The Rum Diary,Hunter S,Fiction,3.82,53405,3239,224,1.0
1488,Kindred,Octavia E,Historical Fiction,4.26,99820,3238,287,5.0
1491,Wither,Lauren DeStefano,Young Adult,3.8,96833,3218,358,4.0
1492,Ascend,Amanda Hocking,Fantasy,4.08,59543,3214,326,10.0
1494,"Rich Dad, Poor Dad",Robert T,Business,4.08,369427,3208,195,4.0
1497,Out of Africa,Isak Dinesen,Nonfiction,3.94,34198,3206,399,16.0
1498,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,Nonfiction,3.87,97133,3202,209,3.0
1499,"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness",Anne Bishop,Fantasy,4.38,12807,3201,1204,5.0
1500,Never Fade,Alexandra Bracken,Young Adult,4.25,76231,3200,507,1.0
1501,A Modest Proposal and Other Satirical Works,Jonathan Swift,Classics,4.05,14293,3198,64,3.0
1503,The Runaway Bunny,Margaret Wise,Picture Books,4.08,68059,3192,48,3.0
1505,Identical,Ellen Hopkins,Young Adult,4.31,55986,3189,565,3.0
1507,The Bridge on the Drina,Ivo Andrić,Fiction,4.33,14654,3176,314,3.0
1508,Abhorsen,Garth Nix,Fantasy,4.21,113821,3175,358,2.0
1509,Giovanni's Room,James Baldwin,Fiction,4.24,63246,3168,159,8.0
1511,Silver Borne,Patricia Briggs,Urban Fantasy,4.38,94394,3157,342,5.0
1512,Suttree,Cormac McCarthy,Fiction,4.18,17761,3151,471,14.0
1514,Station Eleven,Emily St,Fiction,4.05,322145,3129,333,4.0
